Nr	CID	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
41	1	3	9	26.317	28.124	0	2	9	3.211	1.801	NA	0.276	NA	75.964	-149.036
42	1	3	10	26.652	28.191	0	2	0	3.553	2.084	NA	0.341	NA	11.31	-64.654
43	1	3	11	26.518	28.258	0	2	18	3.702	2.035	NA	0.15	NA	153.435	142.125
44	1	3	12	26.317	28.727	0	2	0	4.212	2.284	NA	0.51	NA	113.199	-40.236
45	1	3	13	26.652	28.727	0	2	0	4.547	2.477	NA	0.335	NA	0	-113.199
46	1	3	14	27.187	29.061	0	2	46	5.178	3.079	NA	0.631	NA	32.005	32.005
47	1	3	15	27.187	29.262	0	2	0	5.379	3.23	NA	0.201	NA	90	57.995
48	1	3	16	27.187	29.262	0	2	9	5.379	3.23	NA	0	NA	0	-90
49	1	3	17	27.254	29.329	0	2	0	5.473	3.325	NA	0.095	NA	45	45
50	1	4	1	18.688	12.799	0	2	18	0	0	NA	NA	NA	NA	NA
51	1	4	2	19.09	12.197	0	2	18	0.724	0.724	NA	0.724	NA	-56.31	NA
52	1	4	3	19.893	12.732	0	2	0	1.689	1.206	NA	0.965	NA	33.69	90
53	1	4	4	19.826	13.134	0	2	18	2.096	1.186	NA	0.407	NA	99.462	65.772
54	1	4	5	20.294	13.201	0	2	0	2.569	1.656	NA	0.473	NA	8.13	-91.332
55	1	4	6	20.83	14.137	0	2	9	3.648	2.525	NA	1.079	NA	60.255	52.125
56	1	4	7	20.763	14.137	0	2	0	3.715	2.469	NA	0.067	NA	180	119.745
57	1	4	8	20.964	14.472	0	2	9	4.106	2.824	NA	0.39	NA	59.036	-120.964
58	1	4	9	21.365	15.811	0	2	37	5.503	4.029	NA	1.397	NA	73.301	14.265
59	1	4	10	21.097	16.681	0	2	0	6.413	4.568	NA	0.91	NA	107.103	33.802
60	1	4	11	20.83	17.283	0	2	37	7.072	4.969	NA	0.659	NA	113.962	6.86
61	1	4	12	21.365	17.283	0	2	0	7.608	5.222	NA	0.535	NA	0	-113.962
62	1	4	13	20.83	17.417	0	2	27	8.16	5.09	NA	0.552	NA	165.964	165.964
63	1	4	14	21.365	17.417	0	2	18	8.695	5.338	NA	0.535	NA	0	-165.964
64	1	4	15	21.164	17.417	0	2	55	8.896	5.24	NA	0.201	NA	180	180
65	1	4	16	21.432	18.019	0	2	9	9.555	5.897	NA	0.659	NA	66.038	-113.962
66	1	4	17	22.369	19.157	0	2	9	11.029	7.346	NA	1.474	NA	50.528	-15.51
67	1	4	18	22.637	19.759	0	2	0	11.688	8.002	NA	0.659	NA	66.038	15.51
68	1	4	19	23.239	20.428	0	2	83	12.588	8.883	NA	0.9	NA	48.013	-18.025
69	1	4	20	22.971	19.759	0	2	18	13.309	8.172	NA	0.721	NA	-111.801	-159.814
70	1	4	21	22.503	19.291	0	2	0	13.971	7.529	NA	0.663	NA	-135	-23.199
71	1	4	22	22.369	19.09	0	2	9	14.213	7.288	NA	0.241	NA	-123.69	11.31
72	1	4	23	22.235	19.09	0	2	0	14.347	7.222	NA	0.134	NA	180	-56.31
73	1	4	24	22.168	18.688	0	2	9	14.754	6.841	NA	0.407	NA	-99.462	80.538
74	1	4	25	22.168	18.688	0	2	9	14.754	6.841	NA	0	NA	0	99.462
75	1	4	26	21.633	18.153	0	2	9	15.511	6.11	NA	0.757	NA	-135	-135
76	1	4	27	21.298	17.082	0	2	0	16.633	5.016	NA	1.122	NA	-107.354	27.646
77	1	4	28	20.897	16.145	0	2	9	17.652	4.009	NA	1.019	NA	-113.199	-5.845
78	1	4	29	20.897	16.212	0	2	27	17.719	4.065	NA	0.067	NA	90	-156.801
79	1	5	1	28.258	29.998	0	2	9	0	0	NA	NA	NA	NA	NA
80	1	5	2	28.392	30.199	0	2	0	0.241	0.241	NA	0.241	NA	56.31	NA
81	1	5	3	28.727	30.333	0	2	0	0.602	0.576	NA	0.36	NA	21.801	-34.509
82	1	6	1	27.054	29.061	0	2	0	0	0	NA	NA	NA	NA	NA
83	1	6	2	26.853	29.061	0	2	9	0.201	0.201	NA	0.201	NA	180	NA
84	1	6	3	27.054	29.061	0	2	0	0.402	0	NA	0.201	NA	0	-180
85	1	6	4	27.187	29.128	0	2	0	0.551	0.15	NA	0.15	NA	26.565	26.565
86	1	6	5	27.388	29.195	0	2	18	0.763	0.36	NA	0.212	NA	18.435	-8.13
87	1	6	6	27.121	29.128	0	2	9	1.039	0.095	NA	0.276	NA	-165.964	175.601
88	1	6	7	27.254	29.195	0	2	18	1.188	0.241	NA	0.15	NA	26.565	-167.471
89	1	6	8	27.254	29.195	0	2	9	1.188	0.241	NA	0	NA	0	-26.565
90	1	6	9	27.321	29.396	0	2	0	1.4	0.429	NA	0.212	NA	71.565	71.565
91	1	6	10	27.79	29.396	0	2	18	1.868	0.809	NA	0.468	NA	0	-71.565
92	1	6	11	27.589	29.329	0	2	0	2.08	0.599	NA	0.212	NA	-161.565	-161.565
93	1	6	12	27.723	29.463	0	2	9	2.269	0.78	NA	0.189	NA	45	-153.435
94	1	6	13	27.857	29.731	0	2	9	2.569	1.045	NA	0.299	NA	63.435	18.435
95	1	6	14	27.321	29.463	0	2	0	3.167	0.483	NA	0.599	NA	-153.435	143.13
96	1	6	15	27.79	29.664	0	2	18	3.677	0.951	NA	0.51	NA	23.199	176.634
97	1	6	16	27.924	29.797	0	2	9	3.866	1.14	NA	0.189	NA	45	21.801
98	1	7	1	28.325	29.931	0	2	18	0	0	NA	NA	NA	NA	NA
99	1	7	2	28.459	30.199	0	2	0	0.299	0.299	NA	0.299	NA	63.435	NA
100	1	7	3	31.136	29.262	0	2	18	3.135	2.889	NA	2.836	NA	-19.29	-82.725
101	1	7	4	31.069	29.864	0	2	27	3.741	2.745	NA	0.606	NA	96.34	115.63
102	1	7	5	30.467	29.931	0	2	0	4.347	2.142	NA	0.606	NA	173.66	77.32
103	1	7	6	30.467	31.604	0	2	18	6.021	2.718	NA	1.673	NA	90	-83.66
104	1	8	1	20.83	16.547	0	2	9	0	0	NA	NA	NA	NA	NA
105	1	8	2	21.097	16.681	0	2	0	0.299	0.299	NA	0.299	NA	26.565	NA
106	1	8	3	21.834	17.684	0	2	0	1.544	1.517	NA	1.245	NA	53.746	27.181
107	1	8	4	21.767	17.952	0	2	9	1.82	1.689	NA	0.276	NA	104.036	50.29
108	1	9	1	15.877	7.981	0	2	27	0	0	NA	NA	NA	NA	NA
109	1	9	2	16.011	8.65	0	2	27	0.682	0.682	NA	0.682	NA	78.69	NA
110	1	9	3	16.413	8.382	0	2	0	1.165	0.669	NA	0.483	NA	-33.69	-112.38
111	1	9	4	16.212	8.382	0	2	55	1.366	0.523	NA	0.201	NA	180	-146.31
112	1	9	5	16.078	8.248	0	2	18	1.555	0.335	NA	0.189	NA	-135	45
113	1	9	6	16.212	8.784	0	2	37	2.107	0.87	NA	0.552	NA	75.964	-149.036
114	1	9	7	16.547	9.587	0	2	46	2.977	1.74	NA	0.87	NA	67.38	-8.584
115	1	9	8	15.811	9.118	0	2	18	3.85	1.14	NA	0.873	NA	-147.529	145.091
116	1	9	9	15.811	9.118	0	2	18	3.85	1.14	NA	0	NA	0	147.529
117	1	9	10	16.078	8.784	0	2	74	4.278	0.828	NA	0.429	NA	-51.34	-51.34
118	1	9	11	16.212	8.784	0	2	18	4.412	0.87	NA	0.134	NA	0	51.34
119	1	9	12	15.944	8.917	0	2	27	4.711	0.939	NA	0.299	NA	153.435	153.435
120	1	9	13	16.145	9.52	0	2	46	5.346	1.562	NA	0.635	NA	71.565	-81.87
121	1	9	14	16.145	9.185	0	2	27	5.681	1.234	NA	0.335	NA	-90	-161.565
122	1	9	15	16.279	9.185	0	2	27	5.815	1.27	NA	0.134	NA	0	90
123	1	9	16	16.279	9.118	0	2	27	5.881	1.206	NA	0.067	NA	-90	-90
124	1	9	17	15.61	8.382	0	2	0	6.876	0.483	NA	0.995	NA	-132.274	-42.274
125	1	9	18	15.944	8.449	0	2	9	7.218	0.473	NA	0.341	NA	11.31	143.584
126	1	9	19	16.078	8.65	0	2	27	7.459	0.699	NA	0.241	NA	56.31	45
127	1	10	1	12.464	15.275	0	2	0	0	0	NA	NA	NA	NA	NA
128	1	10	2	12.197	14.606	0	2	0	0.721	0.721	NA	0.721	NA	-111.801	NA
129	1	10	3	12.13	14.606	0	2	0	0.788	0.748	NA	0.067	NA	180	-68.199
130	1	10	4	12.331	13.535	0	2	9	1.877	1.745	NA	1.089	NA	-79.38	100.62
131	1	10	5	12.464	13.134	0	2	0	2.3	2.142	NA	0.423	NA	-71.565	7.815
132	1	10	6	12.464	13.134	0	2	0	2.3	2.142	NA	0	NA	0	71.565
133	1	10	7	12.397	12.732	0	2	0	2.707	2.544	NA	0.407	NA	-99.462	-99.462
134	1	10	8	12.264	12.665	0	2	0	2.857	2.618	NA	0.15	NA	-153.435	-53.973
135	1	10	9	12.197	12.598	0	2	9	2.952	2.69	NA	0.095	NA	-135	18.435
136	1	10	10	12.665	12.866	0	2	0	3.491	2.418	NA	0.54	NA	29.745	164.745
137	1	10	11	12.397	13.134	0	2	9	3.87	2.143	NA	0.379	NA	135	105.255
138	1	10	12	12.732	13.267	0	2	9	4.23	2.025	NA	0.36	NA	21.801	-113.199
139	1	10	13	13.067	13.602	0	2	0	4.703	1.778	NA	0.473	NA	45	23.199
140	1	10	14	13.134	13.87	0	2	9	4.979	1.557	NA	0.276	NA	75.964	30.964
141	1	10	15	12.933	13.87	0	2	0	5.18	1.481	NA	0.201	NA	180	104.036
142	1	10	16	13.401	14.004	0	2	0	5.667	1.579	NA	0.487	NA	15.945	-164.055
143	1	10	17	13.201	14.271	0	2	0	6.002	1.245	NA	0.335	NA	126.87	110.925
144	1	10	18	13.937	14.874	0	2	0	6.953	1.526	NA	0.951	NA	39.289	-87.58
145	1	11	1	17.484	6.843	0	2	0	0	0	NA	NA	NA	NA	NA
146	1	11	2	18.22	7.847	0	2	9	1.245	1.245	NA	1.245	NA	53.746	NA
147	1	11	3	18.086	9.051	0	2	9	2.457	2.289	NA	1.212	NA	96.34	42.594
148	1	11	4	18.22	9.252	0	2	0	2.698	2.519	NA	0.241	NA	56.31	-40.03
149	1	11	5	18.019	10.122	0	2	9	3.591	3.323	NA	0.893	NA	102.995	46.685
150	1	11	6	18.153	10.992	0	2	0	4.471	4.203	NA	0.88	NA	81.254	-21.741
151	2	1	1	30.534	32.006	0	2	0	0	0	NA	NA	NA	NA	NA
152	2	1	2	30.734	32.006	0	2	27	0.201	0.201	NA	0.201	NA	0	NA
153	2	1	3	30.734	31.738	0	2	37	0.468	0.335	NA	0.268	NA	-90	-90
154	2	1	4	30.734	31.738	0	2	0	0.468	0.335	NA	0	NA	0	90
155	2	1	5	30.935	31.805	0	2	0	0.68	0.449	NA	0.212	NA	18.435	18.435
156	2	1	6	31.002	31.604	0	2	0	0.892	0.617	NA	0.212	NA	-71.565	-90
157	2	1	7	31.002	31.471	0	2	18	1.026	0.711	NA	0.134	NA	-90	-18.435
158	2	1	8	31.002	31.471	0	2	0	1.026	0.711	NA	0	NA	0	90
159	2	1	9	30.667	31.404	0	2	0	1.367	0.617	NA	0.341	NA	-168.69	-168.69
160	2	1	10	30.667	31.404	0	2	0	1.367	0.617	NA	0	NA	0	168.69
161	2	1	11	30.734	31.27	0	2	18	1.516	0.763	NA	0.15	NA	-63.435	-63.435
162	2	1	12	30.734	31.337	0	2	9	1.583	0.699	NA	0.067	NA	90	153.435
163	2	1	13	30.601	31.404	0	2	9	1.733	0.606	NA	0.15	NA	153.435	63.435
164	2	1	14	30.534	31.404	0	2	18	1.8	0.602	NA	0.067	NA	180	26.565
165	2	1	15	30.601	30.534	0	2	0	2.673	1.474	NA	0.873	NA	-85.601	94.399
166	2	1	16	31.002	30.467	0	2	0	3.08	1.609	NA	0.407	NA	-9.462	76.139
167	2	1	17	30.667	30.467	0	2	0	3.414	1.545	NA	0.335	NA	180	-170.538
168	2	2	1	29.463	30.199	0	2	0	0	0	NA	NA	NA	NA	NA
169	2	2	2	30.132	30.266	0	2	18	0.673	0.673	NA	0.673	NA	5.711	NA
170	2	2	3	30.734	30.333	0	2	9	1.279	1.279	NA	0.606	NA	6.34	0.63
171	2	2	4	30.199	30.199	0	2	9	1.83	0.736	NA	0.552	NA	-165.964	-172.304
172	2	2	5	30.601	30.467	0	2	0	2.313	1.169	NA	0.483	NA	33.69	-160.346
173	2	2	6	31.002	30.601	0	2	9	2.736	1.591	NA	0.423	NA	18.435	-15.255
174	2	2	7	30.601	30.667	0	2	0	3.143	1.23	NA	0.407	NA	170.538	152.103
175	2	2	8	30.266	30.601	0	2	0	3.485	0.898	NA	0.341	NA	-168.69	20.772
176	2	2	9	30.935	30.868	0	2	18	4.205	1.617	NA	0.721	NA	21.801	-169.509
177	2	2	10	30.734	30.868	0	2	18	4.406	1.437	NA	0.201	NA	180	158.199
178	2	2	11	31.203	31.337	0	2	0	5.069	2.079	NA	0.663	NA	45	-135
179	2	2	12	31.203	31.537	0	2	0	5.269	2.195	NA	0.201	NA	90	45
180	2	2	13	30.801	31.069	0	2	0	5.886	1.596	NA	0.617	NA	-130.601	139.399
181	2	2	14	29.664	30.065	0	2	0	7.404	0.241	NA	1.517	NA	-138.576	-7.975
182	2	2	15	29.463	29.931	0	2	0	7.645	0.268	NA	0.241	NA	-146.31	-7.734
183	2	3	1	25.113	26.786	0	2	0	0	0	NA	NA	NA	NA	NA
184	2	3	2	25.849	27.121	0	2	0	0.809	0.809	NA	0.809	NA	24.444	NA
185	2	3	3	26.317	27.723	0	2	0	1.572	1.526	NA	0.763	NA	52.125	27.681
186	2	3	4	26.719	28.124	0	2	0	2.14	2.091	NA	0.568	NA	45	-7.125
187	2	3	5	26.652	27.991	0	2	0	2.289	1.955	NA	0.15	NA	-116.565	-161.565
188	2	3	6	26.384	27.991	0	2	0	2.557	1.752	NA	0.268	NA	180	-63.435
189	2	3	7	26.451	28.057	0	2	9	2.652	1.846	NA	0.095	NA	45	-135
190	2	3	8	26.251	27.857	0	2	9	2.935	1.562	NA	0.284	NA	-135	-180
191	2	3	9	26.317	28.124	0	2	9	3.211	1.801	NA	0.276	NA	75.964	-149.036
192	2	3	10	26.652	28.191	0	2	0	3.553	2.084	NA	0.341	NA	11.31	-64.654
193	2	3	11	26.518	28.258	0	2	18	3.702	2.035	NA	0.15	NA	153.435	142.125
194	2	3	12	26.317	28.727	0	2	0	4.212	2.284	NA	0.51	NA	113.199	-40.236
195	2	3	13	26.652	28.727	0	2	0	4.547	2.477	NA	0.335	NA	0	-113.199
196	2	3	14	27.187	29.061	0	2	46	5.178	3.079	NA	0.631	NA	32.005	32.005
197	2	3	15	27.187	29.262	0	2	0	5.379	3.23	NA	0.201	NA	90	57.995
198	2	3	16	27.187	29.262	0	2	9	5.379	3.23	NA	0	NA	0	-90
199	2	3	17	27.254	29.329	0	2	0	5.473	3.325	NA	0.095	NA	45	45
200	2	4	1	18.688	12.799	0	2	18	0	0	NA	NA	NA	NA	NA
201	2	4	2	19.09	12.197	0	2	18	0.724	0.724	NA	0.724	NA	-56.31	NA
202	2	4	3	19.893	12.732	0	2	0	1.689	1.206	NA	0.965	NA	33.69	90
203	2	4	4	19.826	13.134	0	2	18	2.096	1.186	NA	0.407	NA	99.462	65.772
204	2	4	5	20.294	13.201	0	2	0	2.569	1.656	NA	0.473	NA	8.13	-91.332
205	2	4	6	20.83	14.137	0	2	9	3.648	2.525	NA	1.079	NA	60.255	52.125
206	2	4	7	20.763	14.137	0	2	0	3.715	2.469	NA	0.067	NA	180	119.745
207	2	4	8	20.964	14.472	0	2	9	4.106	2.824	NA	0.39	NA	59.036	-120.964
208	2	4	9	21.365	15.811	0	2	37	5.503	4.029	NA	1.397	NA	73.301	14.265
209	2	4	10	21.097	16.681	0	2	0	6.413	4.568	NA	0.91	NA	107.103	33.802
210	2	4	11	20.83	17.283	0	2	37	7.072	4.969	NA	0.659	NA	113.962	6.86
211	2	4	12	21.365	17.283	0	2	0	7.608	5.222	NA	0.535	NA	0	-113.962
212	2	4	13	20.83	17.417	0	2	27	8.16	5.09	NA	0.552	NA	165.964	165.964
213	2	4	14	21.365	17.417	0	2	18	8.695	5.338	NA	0.535	NA	0	-165.964
214	2	4	15	21.164	17.417	0	2	55	8.896	5.24	NA	0.201	NA	180	180
215	2	4	16	21.432	18.019	0	2	9	9.555	5.897	NA	0.659	NA	66.038	-113.962
216	2	4	17	22.369	19.157	0	2	9	11.029	7.346	NA	1.474	NA	50.528	-15.51
217	2	4	18	22.637	19.759	0	2	0	11.688	8.002	NA	0.659	NA	66.038	15.51
218	2	4	19	23.239	20.428	0	2	83	12.588	8.883	NA	0.9	NA	48.013	-18.025
219	2	4	20	22.971	19.759	0	2	18	13.309	8.172	NA	0.721	NA	-111.801	-159.814
220	2	4	21	22.503	19.291	0	2	0	13.971	7.529	NA	0.663	NA	-135	-23.199
221	2	4	22	22.369	19.09	0	2	9	14.213	7.288	NA	0.241	NA	-123.69	11.31
222	2	4	23	22.235	19.09	0	2	0	14.347	7.222	NA	0.134	NA	180	-56.31
223	2	4	24	22.168	18.688	0	2	9	14.754	6.841	NA	0.407	NA	-99.462	80.538
224	2	4	25	22.168	18.688	0	2	9	14.754	6.841	NA	0	NA	0	99.462
225	2	4	26	21.633	18.153	0	2	9	15.511	6.11	NA	0.757	NA	-135	-135
226	2	4	27	21.298	17.082	0	2	0	16.633	5.016	NA	1.122	NA	-107.354	27.646
227	2	4	28	20.897	16.145	0	2	9	17.652	4.009	NA	1.019	NA	-113.199	-5.845
228	2	4	29	20.897	16.212	0	2	27	17.719	4.065	NA	0.067	NA	90	-156.801
229	2	5	1	28.258	29.998	0	2	9	0	0	NA	NA	NA	NA	NA
230	2	5	2	28.392	30.199	0	2	0	0.241	0.241	NA	0.241	NA	56.31	NA
231	2	5	3	28.727	30.333	0	2	0	0.602	0.576	NA	0.36	NA	21.801	-34.509
232	2	6	1	27.054	29.061	0	2	0	0	0	NA	NA	NA	NA	NA
233	2	6	2	26.853	29.061	0	2	9	0.201	0.201	NA	0.201	NA	180	NA
234	2	6	3	27.054	29.061	0	2	0	0.402	0	NA	0.201	NA	0	-180
235	2	6	4	27.187	29.128	0	2	0	0.551	0.15	NA	0.15	NA	26.565	26.565
236	2	6	5	27.388	29.195	0	2	18	0.763	0.36	NA	0.212	NA	18.435	-8.13
237	2	6	6	27.121	29.128	0	2	9	1.039	0.095	NA	0.276	NA	-165.964	175.601
238	2	6	7	27.254	29.195	0	2	18	1.188	0.241	NA	0.15	NA	26.565	-167.471
239	2	6	8	27.254	29.195	0	2	9	1.188	0.241	NA	0	NA	0	-26.565
240	2	6	9	27.321	29.396	0	2	0	1.4	0.429	NA	0.212	NA	71.565	71.565
241	2	6	10	27.79	29.396	0	2	18	1.868	0.809	NA	0.468	NA	0	-71.565
242	2	6	11	27.589	29.329	0	2	0	2.08	0.599	NA	0.212	NA	-161.565	-161.565
243	2	6	12	27.723	29.463	0	2	9	2.269	0.78	NA	0.189	NA	45	-153.435
244	2	6	13	27.857	29.731	0	2	9	2.569	1.045	NA	0.299	NA	63.435	18.435
245	2	6	14	27.321	29.463	0	2	0	3.167	0.483	NA	0.599	NA	-153.435	143.13
246	2	6	15	27.79	29.664	0	2	18	3.677	0.951	NA	0.51	NA	23.199	176.634
247	2	6	16	27.924	29.797	0	2	9	3.866	1.14	NA	0.189	NA	45	21.801
248	2	7	1	28.325	29.931	0	2	18	0	0	NA	NA	NA	NA	NA
249	2	7	2	28.459	30.199	0	2	0	0.299	0.299	NA	0.299	NA	63.435	NA
250	2	7	3	31.136	29.262	0	2	18	3.135	2.889	NA	2.836	NA	-19.29	-82.725
251	2	7	4	31.069	29.864	0	2	27	3.741	2.745	NA	0.606	NA	96.34	115.63
252	2	7	5	30.467	29.931	0	2	0	4.347	2.142	NA	0.606	NA	173.66	77.32
253	2	7	6	30.467	31.604	0	2	18	6.021	2.718	NA	1.673	NA	90	-83.66
254	2	8	1	20.83	16.547	0	2	9	0	0	NA	NA	NA	NA	NA
255	2	8	2	21.097	16.681	0	2	0	0.299	0.299	NA	0.299	NA	26.565	NA
256	2	8	3	21.834	17.684	0	2	0	1.544	1.517	NA	1.245	NA	53.746	27.181
257	2	8	4	21.767	17.952	0	2	9	1.82	1.689	NA	0.276	NA	104.036	50.29
258	2	9	1	15.877	7.981	0	2	27	0	0	NA	NA	NA	NA	NA
259	2	9	2	16.011	8.65	0	2	27	0.682	0.682	NA	0.682	NA	78.69	NA
260	2	9	3	16.413	8.382	0	2	0	1.165	0.669	NA	0.483	NA	-33.69	-112.38
261	2	9	4	16.212	8.382	0	2	55	1.366	0.523	NA	0.201	NA	180	-146.31
262	2	9	5	16.078	8.248	0	2	18	1.555	0.335	NA	0.189	NA	-135	45
263	2	9	6	16.212	8.784	0	2	37	2.107	0.87	NA	0.552	NA	75.964	-149.036
264	2	9	7	16.547	9.587	0	2	46	2.977	1.74	NA	0.87	NA	67.38	-8.584
265	2	9	8	15.811	9.118	0	2	18	3.85	1.14	NA	0.873	NA	-147.529	145.091
266	2	9	9	15.811	9.118	0	2	18	3.85	1.14	NA	0	NA	0	147.529
267	2	9	10	16.078	8.784	0	2	74	4.278	0.828	NA	0.429	NA	-51.34	-51.34
268	2	9	11	16.212	8.784	0	2	18	4.412	0.87	NA	0.134	NA	0	51.34
269	2	9	12	15.944	8.917	0	2	27	4.711	0.939	NA	0.299	NA	153.435	153.435
270	2	9	13	16.145	9.52	0	2	46	5.346	1.562	NA	0.635	NA	71.565	-81.87
271	2	9	14	16.145	9.185	0	2	27	5.681	1.234	NA	0.335	NA	-90	-161.565
272	2	9	15	16.279	9.185	0	2	27	5.815	1.27	NA	0.134	NA	0	90
273	2	9	16	16.279	9.118	0	2	27	5.881	1.206	NA	0.067	NA	-90	-90
274	2	9	17	15.61	8.382	0	2	0	6.876	0.483	NA	0.995	NA	-132.274	-42.274
275	2	9	18	15.944	8.449	0	2	9	7.218	0.473	NA	0.341	NA	11.31	143.584
276	2	9	19	16.078	8.65	0	2	27	7.459	0.699	NA	0.241	NA	56.31	45
277	2	10	1	12.464	15.275	0	2	0	0	0	NA	NA	NA	NA	NA
278	2	10	2	12.197	14.606	0	2	0	0.721	0.721	NA	0.721	NA	-111.801	NA
279	2	10	3	12.13	14.606	0	2	0	0.788	0.748	NA	0.067	NA	180	-68.199
280	2	10	4	12.331	13.535	0	2	9	1.877	1.745	NA	1.089	NA	-79.38	100.62
281	2	10	5	12.464	13.134	0	2	0	2.3	2.142	NA	0.423	NA	-71.565	7.815
282	2	10	6	12.464	13.134	0	2	0	2.3	2.142	NA	0	NA	0	71.565
283	2	10	7	12.397	12.732	0	2	0	2.707	2.544	NA	0.407	NA	-99.462	-99.462
284	2	10	8	12.264	12.665	0	2	0	2.857	2.618	NA	0.15	NA	-153.435	-53.973
285	2	10	9	12.197	12.598	0	2	9	2.952	2.69	NA	0.095	NA	-135	18.435
286	2	10	10	12.665	12.866	0	2	0	3.491	2.418	NA	0.54	NA	29.745	164.745
287	2	10	11	12.397	13.134	0	2	9	3.87	2.143	NA	0.379	NA	135	105.255
288	2	10	12	12.732	13.267	0	2	9	4.23	2.025	NA	0.36	NA	21.801	-113.199
289	2	10	13	13.067	13.602	0	2	0	4.703	1.778	NA	0.473	NA	45	23.199
290	2	10	14	13.134	13.87	0	2	9	4.979	1.557	NA	0.276	NA	75.964	30.964
291	2	10	15	12.933	13.87	0	2	0	5.18	1.481	NA	0.201	NA	180	104.036
292	2	10	16	13.401	14.004	0	2	0	5.667	1.579	NA	0.487	NA	15.945	-164.055
293	2	10	17	13.201	14.271	0	2	0	6.002	1.245	NA	0.335	NA	126.87	110.925
